,,Absolute numbers,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Context type,Pits,,Floors,,,Fireplaces,,,,,,,,,,,,,,,,,,,,,,
,Period,3B/C,,3A/B,3B,,3A,,3B,,,,,,,,,,,,,,,,,3C,,,
,Lot,3041-2,3063-1,2147-1,3045-1,4065,2127-1,3288,2168,2169,2220,2221,2236,2268,2884,2243,2254,2266,3034,3054-1,3159,3168a,4054-1,4208,6670,3080-2,3108-1,TOT,
,Feature,38,70,78,43a,41,46,291,108,110,163,164,181,223,174,189,202,221,26,46,95,207,13,7,474 418,112,4 6122,AN,RN %
DRY THORN SCRUBLAND,Acacia sp.,13,,,36,,3,,,3,,,8,8,,,,,,,2,,,2,9,,7,91,4.50
,Acacia senegal,,,,5,,,,,,,,,,,,,,,,,,,,,,,5,0.25
,Prosopis sp.,8,,,1,,,,7,,,,,,,,,,,,,,,,,,,16,0.79
,Prosopis farcta,,,4,7,,,,,,,,,,,,,,,5,3,,3,,,1,,23,1.14
,Prosopis cineraria,,,,2,,,,,,,,,,5,,,,,3,6,,5,,,7,,28,1.38
,Senna sp.,,,,,,,,,,,,3,,1,,,,,,,,,,,,,4,0.20
,Ziziphus sp.,4,,,15,,,,,,,10,,,,,,,,2,,,,,,,,31,1.53
,Ziziphus nummularia,3,,2,5,,,,,,,,,,,,,,,,,,,,,,,10,0.49
,Ziziphus mauritiana,9,,,,,9,1,,,,,,,2,,,,,,17,,,,1,2,,41,2.03
,Salvadora sp.,18,,12,45,4,,,,,,,,,,,,,,,,,,,,,,79,3.91
,Salvadora persica,23,,,21,,,5,,,1,5,3,,9,4,,3,,5,,,2,,12,15,,108,5.34
,Salvadora oleoides,,,,2,,42,8,26,15,,,,,3,8,1,8,,10,7,3,14,15,,8,2,172,8.51
,Azadirachta indica,,,,4,,,,,,,,,,,,,,,,,,,,,,,4,0.20
,Clerodendrum sp.,,,,13,,,,,,,,,,,,,,,,,,,,,,,13,0.64
,Calotropis procera,,,,5,,,1,,,,,6,,,,,,,,,,,,3,,,15,0.74
,Suaeda monoica,,,,4,,,,,,,,,,,,,,,,,,,,,,,4,0.20
,Capparis decidua,,,,,,,,,,,,,,,,,,,,,,,,,4,,4,0.20
,Leptadenia pyrotecnica,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,0.05
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIVERINE,Acacia nilotica,22,6,,13,,,,,,,,,,,,,,,,,,,,,,,41,2.03
,Tamarix aphylla,15,2,29,101,,5,13,2,7,,,1,,20,73,9,,10,211,216,11,,8,23,24,75,855,42.28
,Dalbergia sissoo,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.10
,Populus euphratica,4,,,,,,,,,,,,,,,,,,,,,,,,1,,5,0.25
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OTHER,Phoenix dactylifera/sylvestris,,,,7,,,4,4,,,3,,,3,,,,,,,,,1,2,,,24,1.19
,Monocotyledon,14,,1,2,,,,,,,,,,,,,,,,,,,,,,,17,0.84
,Olea ferruginea,,,,1,,,,,,16,,1,,2,,,,,,,,,3,18,,,41,2.03
,Ficus sp.,2,,,1,,1,,3,3,,,8,2,1,,,,,,,,,,,,,21,1.04
,Pistcia integerrima,,,,,,,,,,6,,,,,,1,,,,,,,,,,,7,0.35
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOUNTAIN FOREST,Pinus sp.,,11,47,52,,,,,1,1,,,,,,,,,,,,,,,28,,140,6.92
,Pinus sp. compression wood,,,9,,,,,,,,,,,3,,,,8,,,,,,,7,,27,1.34
,Conifer,,,,,,,,1,,,,,,,,,,,,,,,,,3,,4,0.20
,Cedrus deodara,,,,,,,,,,,,,,,,,,,,,,,,,62,,62,3.07
,Cedrus deodara comp. wood,,,,,,,,,,,,,,,,,,,,,,,,,15,,15,0.74
,Quercus sp.,,,,,,,,,,,,,,,,,,,,,,,,,20,,20,0.99
,cf. Viburnum sp.,,,,,,,,,,,,,,,,,,,,,,,,,4,,4,0.20
,Morus macroura,,,,,,,,,,,,8,,,,,,,,,,,,,,,8,0.40
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Unidentified type 1,,,6,9,5,,,,,,,,,,,,,,,,,,,,,,20,0.99
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Undetermined,20,3,3,21,1,,,3,4,,,1,,1,3,,,,2,3,1,3,1,2,8,2,82,4.06
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TOT,157,22,113,350,10,60,32,46,33,24,18,39,10,50,89,11,11,18,238,254,15,27,30,70,209,86,2022,100.00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,tot - undetermined,137,19,110,329,9,60,32,43,29,24,18,38,10,49,86,11,11,18,236,251,14,24,29,68,201,84,1940,95.94
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Relative numbers (%),,,,,,,,,,,,,,,,,,,,,,,,,,,
,Context type,Pits,,Floors,,,Fireplaces,,,,,,,,,,,,,,,,,,,,,,
,Period,3B/C,,3A/B,3/B,,3A,,3B,,,,,,,,,,,,,,,,,3C,,,
,Lot,3041-2,3063-1,2147-1,3045-1,4065,2127-1,3288,2168,2169,2220,2221,2236,2268,2884,2243,2254,2266,3034,3054-1,3159,3168a,4054-1,4208,6670,3080-2,3108-1,,
,Feature,38,70,78,43a,41,46,291,108,110,163,164,181,223,174,189,202,221,26,46,95,207,13,7,474 418,112,4 6122,,
DRY THORN SCRUBLAND,Acacia sp.,8,,,10,,5,,,9,,,21,80,,,,,,,1,,,7,13,0,8,,
,Acacia senegal,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
,Prosopis sp.,5,,,,,,,15,,,,,,,,,,,,,,,,,,,,
,Prosopis farcta,,,4,,,,,,,,,,,,,,,,2,1,,11,,,,,,
,Prosopis cineraria,,,,,,,,,,,,,,10,,,,,1,2,,19,,,3,,,
,Senna sp.,,,,,,,,,,,,8,,2,,,,,0,,,,,,,,,
,Ziziphus sp.,3,,,4,,,,,,,56,0,,,,,,,1,,,,,,,,,
,Ziziphus nummularia,2,,2,1,,,,,,,,,,,,,,,,,,,,,,,,
,Ziziphus mauritiana,6,,,,,15,3,,,,,,,4,,,,,,7,,,,1,1,,,
,Salvadora sp.,11,,11,13,40,,,,,,,,,,,,,,,,,,,,,,,
,Salvadora persica,15,,,,,,16,,,4,28,8,,18,4,,27,,2,,,7,,17,7,,,
,Salvadora oleoides,,,,,,70,25,57,45,,,,,6,9,9,73,,4,3,20,52,50,,4,2,,
,Azadirachta indica,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
,Clerodendrum sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Calotropis procera,,,,,,,3,,,,,15,,,,,,,,,,,,4,,,,
,Suaeda monoica,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capparis decidua,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
,Leptadenia pyrotecnica,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIVERINE,Acacia nilotica,14,27,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tamarix aphylla,10,9,26,29,,8,41,4,21,,,3,,40,82,82,,56,89,85,73,0,27,33,11,87,,
,Dalbergia sissoo,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Populus euphratica,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OTHER,Phoenix dactylifera/sylvestris,,,,,,,13,9,,,17,,,6,,,,,,,,,3,3,,,,
,Monocotyledon,9,,1,,,,,,,,,,,,,,,,,,,,,,,,,
,Olea ferruginea,,,,,,,,,,67,,3,,4,,,,,,,,,10,26,,,,
,Ficus sp.,1,,,,,2,,7,9,,,21,20,2,,,,,,,,,,,,,,
,Pistcia integerrima,,,,,,,,,,25,,,,,,9,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOUNTAIN FOREST,Pinus sp.,,50,42,,,,,,3,4,,,,,,,,,,,,,,,13,,,
,Pinus sp. compression wood,,,8,,,,,,,,,,,6,,,,44,,,,,,,3,,,
,Conifer,,,,,,,,2,,,,,,,,,,,,,,,,,1,,,
,Cedrus deodara,,,,,,,,,,,,,,,,,,,,,,,,,30,,,
,Cedrus deodara comp. wood,,,,,,,,,,,,,,,,,,,,,,,,,7,,,
,Quercus sp.,,,,,,,,,,,,,,,,,,,,,,,,,10,,,
,cf. Viburnum sp.,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
,Morus macroura,,,,,,,,,,,,21,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,?,,,5,3,50,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Undetermined,13,14,3,6,10,,,7,12,0,0,3,0,2,3,0,0,0,1,1,7,11,3,3,4,2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TOT,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
