type	Ag	Al	As	B	Ba	Be	Bi	Ca	Cd	Co	Cr	Cu	Fe	Ga	Hg	K	La	Mg	Mn	Mo	Na	Ni	P	Pb	S	Sb	Sc	Sr	Th	Ti	Tl	U	V	W	Zn
fresh	0.5714	0.0952	0.0000	0.6190	0.2857	0.0000	0.0000	0.4286	0.0000	0.0000	0.0952	0.3810	0.0476	0.0000	0.0000	0.0476	0.0000	0.3810	0.4286	0.3333	0.2381	0.0476	0.1905	0.1429	0.3810	0.0000	0.0000	0.4286	0.0000	0.7143	0.0000	0.0000	0.0476	0.0000	0.3810
fresh	0.2381	0.2857	0.0000	0.3333	0.0476	0.0000	0.0000	0.3810	0.0000	0.3333	0.2381	0.1429	0.3333	0.0000	0.0000	0.1429	0.0000	0.2857	0.1429	0.0476	0.0952	0.0476	0.0476	0.3810	0.0000	0.0000	0.3333	0.2857	0.0000	0.7143	0.0000	0.0000	0.2857	0.0000	0.1429
fresh	0.2381	0.0952	0.0000	0.1905	0.1905	0.0000	0.0000	0.4762	0.0000	0.0952	0.0952	0.3810	0.1905	0.0000	0.0000	0.0000	0.0000	0.5238	0.1905	0.4762	0.0000	0.2857	0.2857	0.0000	0.0000	0.0000	0.0000	0.5238	0.0000	0.7143	0.0000	0.0000	0.0476	0.0000	0.2381
fresh	0.0000	0.1905	0.0000	0.1905	0.0476	0.0000	0.0000	0.1905	0.0000	0.0952	0.1905	0.2381	0.1429	0.0000	0.0000	0.2857	0.0000	0.0952	0.0952	0.0476	0.4286	0.0476	0.3810	0.2857	0.2857	0.0000	0.0000	0.1905	0.0000	0.7143	0.0000	0.0000	0.0476	0.0000	0.4286
fresh	0.0000	0.3810	0.0000	0.1429	0.0476	0.0000	0.0000	0.0952	0.0000	0.0952	0.2857	0.0000	0.4286	0.0000	0.0000	0.6190	0.0000	0.0000	0.0000	0.0000	0.4762	0.0476	0.0952	0.3810	0.2381	0.0000	0.3333	0.0952	0.0000	0.0000	0.0000	0.0000	0.4286	0.0000	0.0000
fresh	0.2381	0.0000	0.0000	0.3810	0.0000	0.0000	0.0000	0.2381	0.0000	0.0000	0.0000	0.2381	0.0000	0.0000	0.0000	0.2381	0.0000	0.1429	0.0476	0.3333	0.2857	0.0000	0.4762	0.0000	0.1905	0.0000	0.0000	0.3810	0.0000	0.7143	0.0000	0.0000	0.0000	0.0000	0.2857
fresh	0.0000	0.0476	0.0000	0.1905	0.1905	0.0000	0.0000	0.5238	0.0000	0.0952	0.0000	0.0476	0.2381	0.0000	0.0000	0.0952	0.0000	0.4286	0.2381	0.4762	0.0000	0.0476	0.3333	0.0000	0.0952	0.0000	0.0000	0.5714	0.0000	0.7143	0.0000	0.0000	0.0476	0.0000	0.2857
fresh	1.0000	0.4286	0.0000	0.3810	0.2857	0.0000	0.0000	0.2857	0.0000	0.3333	0.2857	0.2381	0.3810	0.0000	0.0000	0.4762	0.0000	0.1905	0.2381	0.0476	0.6190	0.2857	0.1429	0.3810	0.3333	1.0000	0.3333	0.2381	0.0000	0.7143	0.0000	0.0000	0.3810	0.0000	0.1905
fresh	0.0000	0.5238	0.8571	0.0000	0.2857	0.0000	0.0000	0.0000	0.0000	0.3333	0.4762	0.1429	0.6667	0.0000	0.0000	0.4286	0.0000	0.3333	0.3810	0.0476	0.0952	0.4286	0.2381	0.5714	0.4762	0.0000	0.3333	0.0476	0.0000	0.2857	0.0000	0.0000	0.4286	0.0000	0.0476
fresh	0.2381	0.2381	0.0000	0.0476	0.4286	0.0000	0.0000	0.1429	0.0000	0.0952	0.3810	0.4762	0.0952	0.0000	0.0000	0.7143	0.0000	0.2381	0.3333	0.2381	0.8095	0.2857	0.4286	0.2857	0.6667	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2381	0.0000	0.0952
fresh	0.0000	0.2857	0.0000	0.0476	0.4286	0.0000	0.0000	0.0476	0.0000	0.3333	0.6667	0.0476	0.2857	0.0000	0.0000	0.1905	0.0000	0.0476	0.9524	0.2381	0.1905	0.4286	0.0000	0.1429	0.1429	0.0000	0.0000	0.1429	0.0000	0.0000	0.0000	0.0000	0.3333	0.0000	0.4762
ash	0.7143	0.6667	0.0000	0.8095	0.5238	0.0000	0.0000	0.9048	0.0000	0.3333	0.6190	0.7143	0.5238	0.0000	0.0000	0.3810	0.0000	0.8571	0.5714	0.6190	0.3810	0.4286	0.5714	0.6667	0.5714	0.0000	0.3333	0.7619	0.0000	0.0000	0.0000	0.0000	0.5714	0.0000	0.7619
ash	0.9048	0.7143	0.7143	0.8571	0.8095	0.0000	0.0000	0.8571	0.0000	0.6190	0.8095	0.6667	0.7619	0.0000	0.0000	0.7619	0.0000	0.6667	0.7143	0.6667	0.6667	0.6667	0.6667	1.0000	0.7143	0.0000	0.3333	0.8095	0.0000	0.2857	0.0000	0.0000	0.7143	0.0000	0.8095
ash	0.2381	0.8571	0.9524	0.6667	0.7143	1.0000	0.0000	0.8095	0.0000	0.6667	1.0000	0.6190	1.0000	1.0000	0.0000	0.3333	0.0000	0.7619	0.5238	0.9048	0.2857	0.9048	0.6190	0.6667	0.4286	0.0000	1.0000	0.9048	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.7143
ash	0.7143	1.0000	0.0000	0.7619	0.6190	0.0000	0.0000	0.7143	0.0000	0.7619	0.8571	0.8571	0.8095	0.0000	0.0000	0.9048	0.8571	0.6190	0.8095	0.6667	0.9524	0.7619	0.6667	0.6667	0.8571	0.0000	0.8095	0.7143	0.0000	0.2857	0.0000	0.0000	0.8095	0.0000	0.9524
ash	0.7143	0.8095	0.7143	0.7143	0.9048	0.0000	0.0000	0.7619	0.0000	1.0000	0.7619	0.9048	0.9048	0.0000	0.0000	0.8571	0.8571	0.7143	0.8571	0.8571	0.7143	0.8571	0.6667	0.9048	0.7619	0.0000	0.3333	0.8571	0.0000	0.2857	0.0000	0.0000	0.9048	0.0000	1.0000
ash	0.6667	0.7619	0.7143	1.0000	0.9048	0.0000	0.0000	0.9524	1.0000	0.6667	0.6667	0.9524	0.4286	0.0000	0.0000	0.6667	0.0000	0.9524	0.7619	0.9524	0.8571	0.7143	0.6667	0.6667	1.0000	0.0000	0.3333	0.9524	0.0000	0.2857	0.0000	0.0000	0.7143	0.0000	0.8571
ash	0.7143	0.6190	0.0000	0.9048	1.0000	0.0000	0.0000	1.0000	0.0000	0.7619	0.5714	1.0000	0.6190	0.0000	0.0000	0.5714	0.0000	1.0000	0.9048	1.0000	0.5238	1.0000	0.6667	0.5714	0.6190	0.0000	0.3333	1.0000	0.0000	0.0000	0.0000	0.0000	0.6667	0.0000	0.9048
ash	0.9524	0.9524	0.0000	0.9048	0.5714	0.0000	0.0000	0.6667	0.0000	0.7619	0.9048	0.8095	0.8571	0.0000	1.0000	0.8095	0.8571	0.9048	0.6667	0.7619	0.9048	0.7619	0.6667	0.6667	0.8095	0.0000	0.8095	0.6667	0.0000	0.6190	0.0000	0.0000	0.9524	0.0000	0.6190
ash	0.2381	0.9048	1.0000	0.3810	0.8095	0.9524	0.0000	0.5714	0.0000	0.9524	0.9048	0.7143	0.9524	0.0000	0.0000	0.9524	0.8571	0.8095	0.6190	0.5714	0.7619	0.9048	0.6667	0.9524	0.9048	0.0000	0.9524	0.6190	0.0000	0.6667	0.0000	0.0000	0.8571	0.0000	0.5714
ash	0.2381	0.5714	0.0000	0.3810	0.7143	0.0000	0.0000	0.6190	0.0000	0.3333	0.4762	0.5714	0.5238	0.0000	0.0000	1.0000	0.0000	0.5714	0.4762	0.8095	1.0000	0.4286	0.6667	0.5238	0.9524	0.0000	0.3333	0.3333	0.0000	0.2857	0.0000	0.0000	0.5238	0.0000	0.5238
ash	0.5714	0.4762	0.8571	0.3810	0.6190	0.0000	0.0000	0.3333	0.0000	0.7619	0.3810	0.5238	0.7143	0.0000	0.0000	0.5238	0.0000	0.4762	1.0000	0.3333	0.5714	0.4286	0.5238	0.1429	0.5238	0.0000	0.8095	0.4762	0.0000	0.2857	0.0000	0.0000	0.5714	0.0000	0.6667
